locode,name,country_code,latitude,longitude,port_size,max_vessel_size,channel_depth_m,cargo_depth_m,teu_thousands,zone_code,wpi_id,function,status,active
GBANO,Road Town,GB,18.4167,-64.6167,,,,,,,,1-------,RL,1
GBRBB,Robin Hoods Bay,GB,54.4,-0.4833,,,,,,,,1-------,RL,1
GBRCS,Rochester,GB,43.27,-77.6,Small,medium vessels,49.4,49.4,,NAE-CAN,3200,1--4----,AF,1
GBRFD,Rochford,GB,,,,,,,,,,1-------,AF,1
GBROC,Rock,GB,50.5333,-4.9,Very Small,medium vessels,56.7,53.0,,EU-NEU,35170,1-------,RL,1
GBRFR,Rock Ferry,GB,53.3667,-3.0,,,,,,,,1-------,RL,1
GBRTY,Rosehearty,GB,57.7,-2.1,,,,,,,,1-3-----,AA,1
GBRME,Rosemarkie,GB,57.6,-4.1167,,,,,,,,1-------,RL,1
GBRSH,Rosneath,GB,56.0167,-4.8167,,,,,,,,1-3-----,RL,1
GBRDA,Rossendale,GB,53.6833,-2.25,,,,,,,,1-------,RL,1
GBROR,Rostrevor,GB,54.1,-6.2,,,,,,,,1-------,RL,1
GBROY,Rosyth,GB,56.0333,-3.4333,Small,medium vessels,42.1,49.4,,EU-NEU,31980,1-------,AF,1
GBRTH,Rotherham,GB,53.4333,-1.35,,,,,,,,1-------,AF,1
GBRAY,"Rothesay, Isle of Bute",GB,55.8833,-5.15,,,,,,,,1-34----,AF,1
GBROU,Rousay,GB,59.1333,-2.9667,,,,,,,,1-3-----,AA,1
